,correct regex,faulty regex
466,(a|b)a*,(a|b)b*
467,(ab|ba)*,(a|b)b
468,(ab|ba)*,(a|b)b?
469,(a|b)*baa(a|b)*b,a|b*[baa]b
470,(a|(b*bb))*,(b)*(a|b)(b)*
471,a+b,ab*b
472,a+b,ab+
473,(a|baa)*,abb*
474,a(a|b)a(a|b)*,a|(a+b)|a(a+b)*
475,a+b,a|b*a*b
476,b*a*,a(a*)b
477,b*a*,a(a)*b
478,(a|b)(a|b)+aaa+,(ab|aaa)
479,(a|b)(a|b)+aaa+,ab|aaa*
480,b*a*,a+(b*a*)+
481,(a*ba*b)*a*ba*,(((a*)*b)*b)*(b)
482,(a|(b*bb))*,(a|b)(a|bb)*
483,(a*ba*b)*a*ba*,(a)+(ab(bb)+)*
484,(a*ba*b)*a*ba*,((a)*(ab(bb)+))+
485,(ab|ba)*,(aa|bb|ab|ba)*bb
486,(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+
487,(a|b)*(bab)(a|b)*,(a|b)*aba(a|b)*
488,(a*ba*b)*a*ba*,(a|b)+(a|b)*b
489,(a|b)*baa(a|b)*b,(a|b|baa+)+b
490,a+b,(a|b)+b
491,(a|(b*bb))*,(a|b)*b*b|bb*(a|b)*
492,(a|(b*bb))*,(b?)*b(a|b)*|(a|b)*b(b?)*
493,(a*ba*b)*a*ba*,(a|b)*b|b(a|b)*
494,(a*ba*b)*a*ba*,b|(a|b)(bb|a*|ba*b)*a*
495,a+b,(a|b)*(a)b
496,a+b,(a|b)*(ab)
497,(ab|ba)*,(ab+ba)*(a+b+b?)+a+b?
498,(ab|ba)*,aaa*bbb*(a|b)*
499,b*a*,(b|a)*a
500,b*a*,((a+)|(b*))*a
501,(a|b)(a|b)+aaa+,(a*b*)*a*a*a
502,(a|b)(a|b)+aaa+,(b*a*)*a*a*a
503,(a|(b*bb))*,(b)*(a+b)(b)*
504,(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+
505,(a|b)(a|b)+aaa+,(a+b+)|(b+a+)a+a+a+
506,(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+a*
507,(a|(b*bb))*,(a+b*b)
508,a+b,(aa*)b+
509,a+b,a+b+
510,a+b,aa*b+
511,b*a*,(a)(a*)*(b*)*(a*)*
512,(ab|ba)*,aabb(a|b)*
513,(a|(b*bb))*,a((ab)|(ba))*
514,(a|b)*baa(a|b)*b,(a*b*)*(abb)(a*b*)*b
515,(a|(b*bb))*,(a+b)*bbb(a+b)*
516,(a|(b*bb))*,(a+b)*(b+b+)(a+b)*
517,(a|(b*bb))*,(a+b)*bb(a+b)*
518,(a|(b*bb))*,(a+b)*b*bb*(a+b)*
519,(a|(b*bb))*,(a+b)*(b)(a+b)*b
520,(a|b)*baa(a|b)*b,(a|b)*abb(a|b)*b
521,(a|b)*baa(a|b)*b,(a|b)*abb+(a|b)*b
522,(a|b)*baa(a|b)*b,(a|b)*abb((a|b)*b)*
523,(a|b)(a|b)+aaa+,(a+b)*(b+aaa)
524,(a*ba*b)*a*ba*,(b*ab*)(ab*ab*)*
525,(a*ba*b)*a*ba*,b*a(b|ab*a)*
526,(a*ba*b)*a*ba*,b*ab*(ab*ab*)*
527,(a*ba*b)*a*ba*,b*a(ab*a|b)*
528,(a*ba*b)*a*ba*,b*a(b*ab*a)*b*
529,a+b,(a+b)+
530,a+b,a(ab)*
531,(a|b)*baa(a|b)*b,(a|ba*)+b
532,(a|(b*bb))*,b*b(a|b)*|(a|b)*bb*
533,(ab|ba)*,(ab+ba)*(a+b+b?)+(a+b)?
534,a+b,a(a*b*)*b
535,a+b,a(a|b)*b
536,a+b,a[ab]*b
537,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)*(a|b)a*ba
538,(a|b)*baa(a|b)*b,(a*b*(baa+)+a*b*)*b+
539,a(a|b)a(a|b)*,a(a+b)+a(a+b)*
540,a(a|b)a(a|b)*,a(a|b)b(a+b)*
541,a(a|b)a(a|b)*,a+(a+b)+a+(a+b)*
542,a(a|b)a(a|b)*,a+a+b+a+(a+b)*
543,((a|b)a*ba)*(((a|b)a*b)?),(a|b)(a|bb|ba(a|b))*(b|ba)
544,(a|b)*baa(a|b)*b,((a*)(b*)baa(a*)(b*))*b
545,((a|b)a*ba)*(((a|b)a*b)?),(a|b)(a|ba(a|b))*(b|ba)?
546,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*ba|((a|b)a*ba))*(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*b|((a|b)a*b?))
547,a(a|b)a(a|b)*,a(a+b)a(a+b)*
548,a(a|b)a(a|b)*,a(a+b)*a
549,(a*ba*b)*a*ba*,((a|b)a+b)+
550,b*a*,(a|b)a+b*a*
551,a(a|b)a(a|b)*,a(a+b)a(a|b)*
552,a(a|b)a(a|b)*,((a|b)aba(a|b)*)
553,a+b,(a|b)*a(a|b)*b(a|b)*
554,(a*ba*b)*a*ba*,(a|ab*b)*ba*
555,(a*ba*b)*a*ba*,aa(b*|ba)
556,a(a|b)a(a|b)*,a(a+b)*a(a+b)*
557,a(a|b)a(a|b)*,(a(a+b)a)
558,a(a|b)a(a|b)*,a(a+b)a
559,a(a|b)a(a|b)*,aa+ba
560,(a*ba*b)*a*ba*,b*(aa)*bb*
561,a(a|b)a(a|b)*,(a(a|b)b)(a|b)*
562,a(a|b)a(a|b)*,a(a|b)b(a|b)*
563,a(a|b)a(a|b)*,(aba|aab)(a|b)*
564,(ab|ba)*,(aa)*b
565,a(a|b)a(a|b)*,a+(a|b)+a+b
566,(a|b)(a|b)+aaa+,(aa|bb)*aaa+
567,a(a|b)a(a|b)*,a(a|b)(a+b)*
568,(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb))*b
569,(a*ba*b)*a*ba*,(aa|ab|ba|bb)*b
570,(a|b)(a|b)+aaa+,(a+b)*aaa
571,(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa(a|b)*
572,(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b*)aaa*
573,(a|baa)*,(a|b)(a|b)+(aaa)+
574,(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*
575,(a|b)(a|b)+aaa+,(a|ba|b)a*aaa
576,(a|b)(a|b)+aaa+,(a|b)|(a|b)aaaa*
577,(a|b)(a|b)+aaa+,ab|ab*aaa
578,(a|b)(a|b)+aaa+,ab*aaa
579,(a|b)(a|b)+aaa+,b*a(a|b)aaa*
580,(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)*aaa*
581,(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+)
582,(a|b)(a|b)+aaa+,(a|b)(a|b)+aa+
583,(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*aaa*
584,(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa*
585,(a|b)(a|b)+aaa+,(a|b)(a|b)aaa*
586,(a|b)(a|b)+aaa+,(a|b)(a|b)aa+
587,(a|b)(a|b)+aaa+,"(a|b)(a|b)a{2,}"
588,a(a|b)a(a|b)*,a+(a|b)+a+(ab)*
589,a(a|b)a(a|b)*,a((a|b)+)a(a+b)*
590,a(a|b)a(a|b)*,a(a|b)+a(a+b)*
591,(a|b)(a|b)+aaa+,a(a|b)aaa*
592,a(a|b)a(a|b)*,a(a|b)(a|b)a(a|b)*
593,a(a|b)a(a|b)*,a+(a|b)+a+(b)*
594,a(a|b)a(a|b)*,a(a|b)+a(a|b)*
595,a(a|b)a(a|b)*,a+(a|b)+a+(a|b)*
596,(a|baa)*,"[a-b]b?a{2,}"
597,(a|b)(a|b)+aaa+,aaa(a)*|(a|b)baaa(a)*
598,(a|baa)*,(a*|b*)(aa)+
599,(a|b)(a|b)+aaa+,b*a*aaa
600,(a|b)(a|b)+aaa+,(a*|b*)(aaa)a*
601,(a|b)(a|b)+aaa+,a|b+a|b+a|b*a+a+a+a*
602,(a|b)(a|b)+aaa+,a|ba|ba|b*aaaa*
603,(a|b)(a|b)+aaa+,a|b*aaa
604,(a*ba*b)*a*ba*,a*ab*(ab*ab*)*
605,(a|b)(a|b)+aaa+,(ab)*(ab)*aaa(a)*
606,(a|b)(a|b)+aaa+,(ab)*aaa
607,a(a|b)a(a|b)*,a+(a|b)+a
608,a(a|b)a(a|b)*,(aba|aaa|aab|abb|bba)(a|b)*
609,(a*ba*b)*a*ba*,(a|b)((a|b)(a|b))*
610,(a|b)(a|b)+aaa+,aaa+
611,(a|b)(a|b)+aaa+,aaaa*
612,(a*ba*b)*a*ba*,[a]{1}([a]{2})*
613,(a*ba*b)*a*ba*,(b|a+|a*ba*(ba*ba*)*a*)
614,(a|b)(a|b)+aaa+,aa|bbaaa+
615,(ab|ba)*,((ab)*(a|b)(a|b)|(ba)*(a|b)(a|b))
616,(a|b)(a|b)+aaa+,(aa|bb)|(ab|ba)aaaa*
617,(b|(a*aa))*,(a|b)*aa(a|b)*
618,(a|baa)*,"(a*|b*)a{2,}"
619,(a|baa)*,b*aa+
620,(a|baa)*,"b*a{2,}"
621,(a|baa)*,b*a*(aa)
622,(a|baa)*,((b*)aaa*)
623,(a|baa)*,b*a*aa
624,(a|baa)*,((a|b)|[b]*aa)
625,(a|baa)*,"(a|b*a{2,})"
626,(a|baa)*,(a|b*(aa))
627,(a|baa)*,[b]*[a]{2}
628,(a|baa)*,b*aa
629,(a|baa)*,([b]*aa)
630,(a|b)(a|b)+aaa+,(a|b)a*|b*aaa*
631,(a|baa)*,((a|b)(a)(a)*)
632,(a|baa)*,(a|b)(a)(a)*
633,(a|baa)*,b*a+
634,(a|baa)*,a*(b*aa)*a
635,(a|b)(a|b)+aaa+,aba|b*aaa*
636,(a*ba*b)*a*ba*,(a|bb)b*(a|bb)b*
637,(a|b)(a|b)+aaa+,aa|ab|ba|bb(a|b)*aaaa*
638,(a|b)(a|b)+aaa+,aa|ab|ba|bbaaa+
639,(a|b)(a|b)+aaa+,(ab*)|(ba*)|(aa*)|(bb*)(aaa)
640,(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa(a)*)*
641,(a|b)(a|b)+aaa+,"(a|b)(a|b)(a|b)*(a{3,})*"
642,(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa)*
643,(a|(b*bb))*,(a|b+)+
644,(a*ba*b)*a*ba*,(a|(ab)*b)+(ba)*
645,(a|b)(a|b)+aaa+,(a|b)(a|b)*|aaa*
646,(a*ba*b)*a*ba*,(a|b|bb)+
647,(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb))
648,(a|(b*bb))*,a+b*
649,a+b,a+b*
650,a+b,(a)+(b)*
651,a(a|b)a(a|b)*,a(a|b)(a|b)*
652,a(a|b)a(a|b)*,(a)(a|b)*
653,(a|b)(a|b)+aaa+,"[ab]{2,}"
654,(a|b)(a|b)+aaa+,"a{2,}"
655,(a|baa)*,a|(b|aa*)
656,(a*ba*b)*a*ba*,(a|(bb)*b)
657,(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b))*)
658,(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b)))
659,(a|b)*baa(a|b)*b,a|ba*b*(baa)b
660,(a|baa)*,"a|b(ba{2,})*"
661,(a|b)(a|b)+aaa+,"a|b{2,}a{3,}"
662,(a|b)(a|b)+aaa+,a|ba*b*aaa
663,(a|b)*(bab)(a|b)*,(a|b|bab)
664,(a*ba*b)*a*ba*,a|b(a*|ab*ab*)
665,(a|b)(a|b)+aaa+,a|b+(a|b)+aaa
666,(a|b)(a|b)+aaa+,a|b(a|b)+aaa(a)*
667,(a|b)(a|b)+aaa+,a|b(b|ab*)aaa
668,(a|b)(a|b)+aaa+,a|b+a|b+a{3}a*
669,(a|b)(a|b)+aaa+,"a|ba{3,}"
670,(a|b)(a|b)+aaa+,a|ba|baaaa*
671,(a|b)(a|b)+aaa+,a|ba|b+aaa
672,(a|b)(a|b)+aaa+,a|b+aaa
673,(a|b)(a|b)+aaa+,a|b+a|b+aaa
674,(a|baa)*,a|b*b(aa+)
675,(a|b)(a|b)+aaa+,(a|b(aaa))
676,(a|baa)*,a|b*b(aa*)
677,(a*ba*b)*a*ba*,a|b*(b(bb)*)a*
678,(a|baa)*,a|b(a)(a)*
679,(a|baa)*,((a)|(ba(a)*))
680,(a|(b*bb))*,(b*bb*)|a
681,(a|b)(a|b)+aaa+,a|b(a|b)*(aaa)*
682,(b|(a*aa))*,(a|b)(aa)*(a|b)*
683,(a|b)*(bab)(a|b)*,(a|b|bab)+
684,(a*ba*b)*a*ba*,(a|b)+(a|b)*
685,(a|(b*bb))*,a|b
686,a+b,a|b
687,a+b,(a|b)
688,a+b,a(b)*
689,(ab|ba)*,ab*
690,(a*ba*b)*a*ba*,(a)*(aa*)|(bb)*b|a+
691,(a|baa)*,((a)*|(b))(a)(a)*
692,(0*10*10*)*|0*,0*1(0*10*110*)*
693,(0*10*10*)*|0*,0*1(0*|1)1
694,0*10*(10*10*)*,(0*1|0*111+)
695,0*(10*1)*0*,0*1(10*10*)*
696,0*10*(10*10*)*,[0-1]([0-1])?([0-1])?
697,(0*10*10*)*|0*,(1)+(01)+
698,0*10*(10*10*)*,1+(11*)+0
699,(0*10*10*)*|0*,((10*)1*)0*
700,001|1010|110,0*1(01)*1*0*
701,0*10*(10*10*)*,1(11*)
702,0*10*(10*10*)*,1+(11*)
703,0*10*(10*10*)*,(1+(11)*)+0*
704,(0*10*10*)*|0*,0*1(0*|1)
705,(0*10*10*)*|0*,(0*1)+(0*1)+
706,(0*10*10*)*|0*,0*1+1+
707,(0*10*10*)*|0*,0*1(0*1+0*)*
708,(0*10*10*)*|0*,0*1+(0*1+0*)*
709,((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1(0|1)*1|0(0|1)*1
710,0*10*(10*10*)*,[0-1]([0-1])?(([0-1])?)*
711,001|1010|110,1+0+11+0+
712,0*10*(10*10*)*,(1(11)*)*0*1(11)*0*(1(11)*)*
713,(0*10*10*)*|0*,0*10*1*1*0
714,(0*10*10*)*|0*,1*10*1*10
715,0*10*(10*10*)*,1+(0*)+(11*)+(0*)
716,(0*10*10*)*|0*,0*1*0*1*1*0
717,(0*10*10*)*|0*,1(0*|1)1
718,(0*10*10*)*|0*,1+(0*|1)1
719,001|1010|110,1*0*011*
720,0*10*(10*10*)*,[0-1]([0-1][0-1])?
721,(0*10*10*)*|0*,1+0(0+1)((1+0)(1+0))*
722,001|1010|110,1+0+011+0+
723,0*10*(10*10*)*,(0|1)*1(0|1)1*0*
724,0*10*(10*10*)*,1+0
725,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0)|(1+1)|(0+0)|(1+0)|(0+1)
726,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0)|(1+1)|(0+0)|(1+0)
727,0*10*(10*10*)*,(0*1|10*|0*111+|111+0*|0*10*)
728,(0*10*10*)*|0*,0?(0*|1)01*
729,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*|[0101]
730,0*10*(10*10*)*,1+(11)*
731,0*10*(10*10*)*,1+
732,0*10*(10*10*)*,10*(10*)*
733,0*10*(10*10*)*,[0-1][0-1]*
734,(0*10*10*)*|0*,0*1(0*1)*0*
735,0+1*,0*1+
736,(0*10*10*)*|0*,0*11*
737,01*10*(10*10*)*,0*(1|1|1)0*
738,(0|1)(0|1)|(0|1)(0|1)(0|1),((0*1+0*1*)+)+
739,0*10*(10*10*)*,(0*10*)*0*10*
740,0*10*(10*10*)*,((0*)1(0*))+
741,(0*10*10*)*|0*,0*1(0|1*)*
742,(0*10*10*)*|0*,0*1(0|1)*
743,(0*10*10*)*|0*,0*1(0|11*)*
744,0*10*(10*10*)*,(0|1)*1(0|1)*1*0*
745,0*10*(10*10*)*,0*(11)*1(0|1)*
746,0*10*(10*10*)*,0*((1)*1)*1(0|1)*
747,0*10*(10*10*)*,0*1(11)*(0|1)*
748,0*10*(10*10*)*,(0|1)*1(0|1)*
749,0(0|1)*0,0*(0|1)0*
750,(0*10*10*)*|0*,(1|01*0)
751,(0*10*10*)*|0*,0*10*11
752,(0*10*10*)*|0*,0*1+0*1+
753,0*10*(10*10*)*,(0)*(111*)(0)*
754,(0*10*10*)*|0*,0*11+0*
755,(0*10*10*)*|0*,0*1+0*1+0*
756,0*10*(10*10*)*,(0*1|10*|0*111+)
757,(0*10*10*)*|0*,(0+1)*11
758,001|1010|110,0*1(01)*(10)*
759,(0*10*10*)*|0*,0*1(0*1)*
760,(0*10*10*)*|0*,0*1(0*1+)*
761,(0*10*10*)*|0*,(0|1)*1
762,001|1010|110,(1|0)(001|1010|110)*
763,(0*10*10*)*|0*,(0*|1)11
764,(0*10*10*)*|0*,0*1(0*10*)*
765,0*10*(10*10*)*,0*(10*1)
766,0(0|1)*0,0*1+0*
767,(0*10*10*)*|0*,0*1(0|11)*
768,(0*10*10*)*|0*,0*1(0*1)*10*
769,0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1)
770,((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*0)
771,0(0|1)*0,0+(0*1*0*)*0+|1
772,((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0)|1(0*1*)*1?
773,(0*10*10*)*|0*,0*10*1(1)0*
774,(0*10*10*)*|0*,0*1+0*(1+)*0*
775,001|1010|110,(1|0)(001|10101|110)*
776,(0*10*10*)*|0*,0*1(0*10*10*)+
777,(0*10*10*)*|0*,0*1(0*10*)+
778,0(0|1)*0,(0*1+)(0|1)*(1+0*)
779,(0*10*10*)*|0*,0*01*0*10
780,(0*10*10*)*|0*,(01)+(01)+
781,001|1010|110,(0|1)*0101(0|1)*
782,(0*10*10*)*|0*,0*1(0*10*11)*
783,0*10*(10*10*)*,0*1(11)*(0*|1(11)*)
784,0*10*(10*10*)*,0*1(11)*0*1*
785,(0*10*10*)*|0*,0*10*01*
786,0*10*(10*10*)*,0*1+0*1*
787,0*10*(10*10*)*,0*1+0*1*0*
788,0*10*(10*10*)*,0*1*0*10*1*
789,0*10*(10*10*)*,1|((0|1)*1(0|1)1*0*)
790,0*10*(10*10*)*,1|(0|1)*1(0|1)1*0*
791,001|1010|110,0*10*(10)*
792,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0)
793,(0*10*10*)*|0*,0*10*1*0*(1)*
794,001|1010|110,((0|01)(1|10))
795,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1)
796,0*10*(10*10*)*,(1(11)*|0*)1(11)*(1(11)*|0*)
797,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][01]*[10]*
798,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1)|0
799,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*[0-1]*
800,001|1010|110,(0|01)
801,001|1010|110,(0|1)*01+(0|1)
802,0(0|1)*0,(0|(0|1)*0)
803,(0*10*10*)*|0*,(1|0)0*1+
804,001|1010|110,1*0*011*0*
805,001|1010|110,1*0*01*0*
806,(0|1)(0|1)|(0|1)(0|1)(0|1),0+1+
807,(0|10*1)*,(0+1)*11(0+1)*
808,001|1010|110,(001|1010|110)+
809,((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0)
810,((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0)
811,0(0|1)*0,0(0|1)*1
812,001|1010|110,(0+1)*01(0+1)*
813,001|1010|110,(0|1)*01(0|1)*
814,001|1010|110,001|10101|110
815,001|1010|110,(001|10101)|110
816,001|1010|110,001|110|10101
817,001|1010|110,(001|10101|110)
818,001|1010|110,(001)|(10101)|(110)
819,001|1010|110,((001)|(10101)|(110))
820,001|1010|110,001|10101|110|1010
821,001|1010|110,001|10101|1010|110
822,001|1010|110,001|110|10101|1010
823,001|1010|110,0+0+1
824,(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1))
825,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1)
826,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)(0|1)((0|1)?)
827,0*10*(10*10*)*,(0(1*)00)
828,(0|1)(0|1)|(0|1)(0|1)(0|1),"(0|1|10|11){2,3}"
829,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)+(0|1)+(0|1)
830,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)
831,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)(0|1)(0|1)*
832,0*10*(10*10*)*,(00|01|10|11|000|111|100|010|001|110|101|011)
833,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)?(0|1)?
834,(0*10*10*)*|0*,0?0|111*
835,1*(01*01*01*01*)*,(0|1)*1*01*0
836,(0*10*10*)*|0*,1*1*0*1*1*0
837,0*10*(10*10*)*,(0*|1(11)*)(0+|1(11)*)
838,((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*)*0+|(1*0*)*1+
839,0*10*(10*10*)*,(0|1(11)*)+
840,0(0|1)*0,0(0|1)0*
841,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*
842,0(0|1)*0,0+(0*1*0*)*
843,(0*10*10*)*|0*,0|111*
844,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1)
845,(0|1)(0|1)|(0|1)(0|1)(0|1),0|1
846,001|1010|110,[001]|[10101]|[110]
847,001|1010|110,0|0|1
848,((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(0|1)*1|0(0|1)*0?
849,0(0|1)*0,0+(0|1)*
850,(a|baa)*,(a)*(baa)*((a)*(bbb)*)*
851,(a|(b*bb))*,(bb)*(ab)*(bb)*
852,(a|(b*bb))*,(a|bb)*|(b|bb)*
853,(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b)+a*)*
854,(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b))*
855,(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)*
856,(a*ba*b)*a*ba*,(a*ba*)?(a*ba*ba*ba*)*
857,(a*ba*b)*a*ba*,(a*ba*b*b)*
858,(a*ba*b)*a*ba*,(a*ba*bb*)*
859,(a|baa)*,(b+(a+)(a+)a*)*
860,(a|(b*bb))*,b*(ba+ab)*b*
861,(a*ba*b)*a*ba*,(b(aa)*(bb)*)*
862,(a|b)(a|b)+aaa+,(ab)*|(ba)*|(aa)*|(bb)*(aaa)
863,(a|(b*bb))*,(b+a)*
864,(a|baa)*,(ba*)*
865,(a*ba*b)*a*ba*,(b(a)*(bb)*)*
866,(a|(b*bb))*,((a|b)*(bb)(a|b)*)*
867,(a|(b*bb))*,(a*ba*ba*)*
868,(a*ba*b)*a*ba*,(a*ba*ba*)*
869,(a|baa)*,b*|a*aa
870,(a|(b*bb))*,(b+a)*(bb)*(b+a)*
871,(a|(b*bb))*,(a)*(bb)*(b+a)*
872,(a|(b*bb))*,(ba*b)*
873,(a|b)*(bab)(a|b)*,(bab)*
874,(a|(b*bb))*,(bb+a)*(b+a)*
875,(a*ba*b)*a*ba*,(ba|bb)*(a|bb)*
876,(ab|ba)*,(ba)*(ab+ba)*(ba)*
877,(ab|ba)*,(ab|ba)*(ab+ba)*
878,(a|baa)*,((b)(a)(a)*(a*))*
879,(ab|ba)*,(ab)*|(ba)*|(a(bb)*a)*
880,(a|b)*(bab)(a|b)*,((a|b)*bab(a|b)*)*
881,(a*ba*b)*a*ba*,((a+ab+ba+bb)*b)*
882,(a|baa)*,"(b|a{2,})*"
883,(ab|ba)*,(ab)*(ba)*(ab+ba)*(ba)*(ab)*
884,(a|b)*baa(a|b)*b,"(ba{2,})*"
885,(a|(b*bb))*,(a)*b*(ba+ab)*b*(a)*
886,(a|(b*bb))*,a*b*(ba+ab)*b*a*
887,(ab|ba)*,(ba+ab)*
888,(a|b)(a|b)+aaa+,(a*b|aaa)*
889,(a|(b*bb))*,a*b*(ab+ba+b)*b*a*
890,(a|(b*bb))*,a*b*(ab+ba)*b*a*
891,(a|baa)*,(a*b*(aa)a*)*
892,(a|baa)*,((a*b*aa)a*)*
893,(a|baa)*,((b)*(a)+(a)+)*
894,(a|baa)*,((b*)(a)(a)(a*))*
895,(a|baa)*,((b)*(aa)[a]*)*
896,(a|(b*bb))*,(a+ab+b)*(ba+a)*
897,(a|baa)*,(b*(aa+))*
898,(ab|ba)*,(ab(a|b)*)*((a|b)(a|b))*
899,(a|(b*bb))*,(a*bb*a*)|a?
900,(a*ba*b)*a*ba*,(ba*(bb)*)*
901,(ab|ba)*,((ab)*(ba)*)|abb*ba
902,(ab|ba)*,(ab)*(ba)*|abbba
903,(a*ba*b)*a*ba*,(a*([b](bb)*)a*)?
904,(a|baa)*,a*|baa*|a*baa*|abaa*baa*
905,(a*ba*b)*a*ba*,((b)(a))*
906,(a*ba*b)*a*ba*,((a*ba*ba*)*ba*)*
907,(a*ba*b)*a*ba*,((a)*|b)(a|bb)*|b
908,(a*ba*b)*a*ba*,(a*ba*)*
909,(a*ba*b)*a*ba*,(a*ba*b*)*
910,(a|(b*bb))*,(a*((bb*)+(bbb)*)a*)*
911,(a*ba*b)*a*ba*,(a*b+a*)*
912,(b|(a*aa))*,b*(aa*)*b*
913,(a*ba*b)*a*ba*,(a*(ba*ba*)*ba*)*
914,(a|(b*bb))*,b*a*(b?)*a*b*
915,(a|(b*bb))*,(a*b(b+)*a*)*
916,(a*ba*b)*a*ba*,(a*ba*a*)*
917,(b|(a*aa))*,(b*|ab+)*aa(a+b)*|b*
918,(b|(a*aa))*,b*|(a|b)*aa(a|b)*
919,(b|(a*aa))*,(b*|ab+)*aa(a|b)*|b*
920,(b|(a*aa))*,(b*|ab)*aa(a|b)*|b*
921,(a|baa)*,(b*(aaa*)*)
922,(a|baa)*,b*(aa+)*
923,(a*ba*b)*a*ba*,(b|bbb)*
924,(a|(b*bb))*,(b?)*b*(b?)*
925,(a|(b*bb))*,(b)*
926,(a|(b*bb))*,b*
927,(a*ba*b)*a*ba*,b*(b*b*)
928,(a|(b*bb))*,(bb*)*
929,(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*
930,(a|(b*bb))*,(a*(bb*)*a*)*
931,(a|(b*bb))*,(a*(bb)*b*a*)*
932,(a|baa)*,[a]*[baa]*
933,(a*ba*b)*a*ba*,([ab](a)*(bb)*)*
934,(a|(b*bb))*,(a*(bb*)*)*
935,(a*ba*b)*a*ba*,(a*)(a*|(bb(b))*)*
936,(a|baa)*,(a)*(bbb)*((a)*(bbb)*)*
937,(a|(b*bb))*,(a)*(bb)*(a)*(b)*
938,(a|(b*bb))*,a*(bb)*(a)*b*
939,(ab|ba)*,(ab|ba)*(aa|bb)*(ab|ba)*
940,(ab|ba)*,(ab+ba)*
941,(ab|ba)*,(ab|ba)*(aa|bb)*
942,(ab|ba)*,((ab)*(ba)*)*|abb*ba
943,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b)*
944,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*|((a|b)a*b)*
945,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*)b)*|((a|b)(a*)ba*)
946,(a|(b*bb))*,(a)*(bb(b)*)*(b+a)*
